答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
1,E_307_60c6e09533f0c4fff3e28f7a_4YDNxETM,19-29 岁,男,本科,10000-15000 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌,代言品牌,虚拟偶像种类:67.0|相关产品的丰富度:33.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:16:55,2022-02-04 16:19:28,02分33秒,新疆维吾尔自治区,,36.108.95.217,Unknown Browser,iPhone iOS 13.5.1
2,E_307_61fc69b61b2425ff3ea910ff_4YDNxETM,19-29 岁,女,本科,20000 元以上,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,柳叶熙,审美需要,花过，1000 元以上,每月 50 到 200 元,漫画等周边,线上/线下 演唱会,虚拟偶像种类:55.0|相关产品的丰富度:42.0|付费价格:3.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:17:01,2022-02-04 16:19:31,02分30秒,北京市,北京市,221.219.190.119,Chrome 83.0.4103.106,Android Linux 10
3,E_307_61712e7f1b242576741b1782_4YDNxETM,19-29 岁,女,大专,20000 元以上,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，1000 元以上,每月 1000 元以上,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:11.0|相关产品的丰富度:20.0|付费价格:31.0|其他:38.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:17:05,2022-02-04 16:19:38,02分33秒,,,39.144.38.196,Chrome 83.0.4103.106,Android Linux 11
4,E_307_61e0f4521b2425f1897319d5_4YDNxETM,12-18 岁,女,大专,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,代言品牌|漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:17:13,2022-02-04 16:19:46,02分33秒,广东省,深圳市,120.229.59.148,Unknown Browser,iPhone iOS 14.8.1
5,E_307_61fcdf8b1b2425ff3fab895c_4YDNxETM,12-18 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:17:27,2022-02-04 16:19:58,02分31秒,浙江省,,223.104.161.208,Chrome 83.0.4103.106,Android Linux 11
6,E_307_60fce3db1b24254c43682bc9_4YDNxETM,19-29 岁,女,本科,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,线上/线下 演唱会,不太清楚,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:18:14,2022-02-04 16:20:42,02分28秒,内蒙古自治区,通辽市,1.31.72.207,Unknown Browser,iPhone iOS 14.6
7,E_307_5f372b83c46131549e5b39b9_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,柳叶熙,审美需要,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌,线上/线下 演唱会,虚拟偶像种类:21.0|相关产品的丰富度:39.0|付费价格:20.0|其他:20.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:16:57,2022-02-04 16:20:44,03分47秒,天津市,天津市,211.94.241.233,Unknown Browser,iPhone iOS 14.1
8,E_307_608bf5501b24258d87923254_4YDNxETM,19-29 岁,女,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,洛天依|柳叶熙,不会塌房，追星更加稳定,花过，200 元以下,每月 50 元以下,代言品牌|线上/线下 演唱会,代言品牌,虚拟偶像种类:48.0|相关产品的丰富度:23.0|付费价格:29.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:18:33,2022-02-04 16:21:04,02分31秒,,,39.144.24.117,Chrome 88.0.4324.93,Android Linux 9
9,E_307_615d6b8b33f0c4d44ed8801c_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,初音未来|柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 元以下,直播打赏,直播打赏,虚拟偶像种类:42.0|相关产品的丰富度:30.0|付费价格:15.0|其他:13.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:18:36,2022-02-04 16:21:11,02分35秒,浙江省,杭州市,223.104.246.218,Chrome 86.0.4240.99,Android Linux 5.1.1
10,E_307_603d90ac1b24250a92792871_4YDNxETM,19-29 岁,男,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:22.0|相关产品的丰富度:24.0|付费价格:15.0|其他:39.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:18:43,2022-02-04 16:21:14,02分31秒,河南省,南阳市,223.91.74.79,Chrome 92.0.4515.131,Android Linux 11
11,E_307_56655847c1a87d4470a9f5f6_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:36.0|相关产品的丰富度:33.0|付费价格:19.0|其他:12.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:18:38,2022-02-04 16:21:18,02分40秒,浙江省,杭州市,125.210.235.37,Chrome 70.0.3538.110,Android Linux 8.0.0
12,E_307_61df9a391b2425f18971b65f_4YDNxETM,19-29 岁,女,高中,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:18:55,2022-02-04 16:21:25,02分30秒,广东省,东莞市,120.86.130.247,Chrome 88.0.4324.93,Android Linux 10
13,E_307_6156aa581b24256dee6c8666_4YDNxETM,19-29 岁,男,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:8.0|相关产品的丰富度:41.0|付费价格:30.0|其他:21.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:19:29,2022-02-04 16:22:01,02分32秒,广东省,汕头市,120.82.121.89,Chrome 88.0.4324.93,Android Linux 10
14,E_307_61da4f9233f0c414fdff42e3_4YDNxETM,12-18 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,亲朋好友的推荐及评价,每月 50 元以下,代言品牌,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:19:57,2022-02-04 16:22:26,02分29秒,四川省,内江市,171.94.50.45,Chrome 88.0.4324.93,Android Linux 10
